"YEAR","num_stayed","num_south","num_west","num_midwest","num_northeast","num_other","prop_stayed","prop_south","prop_west","prop_midwest","prop_northeast","prop_other"
1850,274,32,0,9,12,0,0.837920489296636,0.0978593272171254,0,0.0275229357798165,0.036697247706422,0
1860,335,54,10,20,20,0,0.763097949886105,0.123006833712984,0.0227790432801822,0.0455580865603645,0.0455580865603645,0
1870,522,81,6,26,50,0,0.762043795620438,0.118248175182482,0.00875912408759124,0.037956204379562,0.072992700729927,0
1880,11396,1194,143,407,794,0,0.817855604994976,0.0856896799196211,0.0102626668580451,0.0292091287498206,0.056982919477537,0
1900,6124,643,83,244,592,0,0.796773354150403,0.0836586000520427,0.0107988550611501,0.0317460317460317,0.0770231589903721,0
1910,1446,185,26,58,175,5,0.763060686015831,0.0976253298153034,0.0137203166226913,0.0306068601583113,0.0923482849604222,0.00263852242744063
1920,1445,280,33,57,192,0,0.719980069755854,0.139511709018435,0.0164424514200299,0.0284005979073244,0.0956651718983558,0
1930,8808,2305,324,476,1441,0,0.659577654635315,0.172607458439419,0.0242623932903999,0.0356447506365134,0.107907742998353,0
1940,2301,796,73,96,278,0,0.649266365688488,0.224604966139955,0.0205981941309255,0.0270880361173815,0.0784424379232506,0
1950,3811,2208,197,226,481,0,0.550483894265492,0.318936877076412,0.0284558717319081,0.0326448071645241,0.069478549761664,0
1960,13569,13603,1714,1259,2746,0,0.41254446505123,0.41357818248153,0.0521115198686571,0.0382779483749354,0.0834878842236478,0
1970,6498,6938,928,647,1208,859,0.380489518679002,0.406253659679119,0.0543389155638834,0.037884998243354,0.0707342780185033,0.0502986298161377
1980,12429,25209,2948,1901,3710,0,0.269043444379505,0.545684784726281,0.0638136675541702,0.0411498582159015,0.0803082451241423,0
1990,12017,37690,4334,2057,4397,0,0.198644516075709,0.623026696421192,0.0716422844863212,0.0340028101495991,0.0726836928671791,0
2000,11291,41658,5045,2354,4639,0,0.173742440795851,0.641020511794667,0.0776309107975441,0.0362226291412129,0.0713835074707249,0
