Cancer Type,Median Survival (Months),1-Year Survival Rate,2-Year Survival Rate,3-Year Survival Rate,5-Year Survival Rate,8-Year Survival Rate,10-Year Survival Rate
Esophagus,9.2,42.1,24.3,18.2,13.6,10.9,9.8
Stomach,9.7,45.9,30.9,24.8,19.9,16.8,15.5
Small Intestine,14,55.1,39.3,32.6,27.5,24.8,24.3
Liver and Bile Duct,4.6,28.2,17,12.2,8,6.1,5.3
Gallbladder,6.5,36.3,23.4,18.9,15.1,13.7,12.8
Other Biliary Cancer,8.4,40.6,23.3,16,11.7,8.9,8.6
Pancreas,,22.8,10,6.7,4.8,3.9,3.6
Lung,,42.6,25.9,20,15.5,12.4,11
Ewing Sarcoma,59,83.2,68.9,60.3,48.4,44.6,44.6
Osteosarcoma,84.5,82.2,67.9,65,59.2,54.5,51.8
Chondrosarcoma,120,93,88.9,85.4,81.6,79.1,78.5
Melanoma (when race is White),,97.2,94.6,92.6,90.2,88.4,88.1
Melanoma (when race is Black),,88.6,82.9,79.7,73.4,70.3,70.3
Cervix,,89.2,80.6,76.1,71.5,68.7,67.2
Ovarian,,80.3,69.3,61.8,53.8,49.4,48.5
Germ Cell Carcinoma of Testis,,98.2,96.8,96.2,96,95.4,95.3
Prostate,,100,99.5,98.9,97.6,94.5,91.7
Kidney,95.1,,,,68.4,,
Brain,,49.7,32.1,27.8,23.6,20.7,19.2
Thyroid,,97,96.5,96.4,96,95.8,95.6
Hodgkin Lymphoma,,92,88.3,86.2,83,79.1,78.1
Non-Hodgkin Lymphoma,,77.5,69.9,65.8,60,53.5,50.8
Acute Lymphocitic Leukemia,,79.8,,66.7,62.2,,60.1
Chronic Lymphocytic Leukemia,,92.3,,86.7,74.9,,54.2
Acute Myeloid Leukemia,,34.4,,18.9,16.5,,16.1
,,,,,,,
https://seer.cancer.gov/,,,,,,,
https://seer.cancer.gov/archive/publications/survival/seer_survival_mono_highres.pdf,,,,,,,
